"filename", "language", "XMake", "C++", "Python", "Markdown", "JSON", "GLSL", "comment", "blank", "total"
"d:\FDU_files\Tao_group\kiwi\MyKiwi\README.md", "Markdown", 0, 0, 0, 122, 0, 0, 0, 60, 182
"d:\FDU_files\Tao_group\kiwi\MyKiwi\TODO.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 18, 30
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\FPGA\FPGA.py", "Python", 0, 0, 343, 0, 0, 0, 3, 82, 428
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\FPGA\bus_routing_FPGA.py", "Python", 0, 0, 123, 0, 0, 0, 2, 30, 155
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\FPGA\test_bus.py", "Python", 0, 0, 44, 0, 0, 0, 6, 24, 74
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\asic\bus_routing_asic.py", "Python", 0, 0, 263, 0, 0, 0, 25, 54, 342
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\asic\maze.py", "Python", 0, 0, 126, 0, 0, 0, 0, 44, 170
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\asic\routing_tree.py", "Python", 0, 0, 56, 0, 0, 0, 0, 19, 75
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\asic\test_bus.py", "Python", 0, 0, 46, 0, 0, 0, 2, 24, 72
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\comparison\case7\description.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 3, 10
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\experiments.md", "Markdown", 0, 0, 0, 97, 0, 0, 0, 38, 135
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\bus_routing\routing_tree.py", "Python", 0, 0, 54, 0, 0, 0, 0, 18, 72
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.03 test\note.md", "Markdown", 0, 0, 0, 80, 0, 0, 0, 48, 128
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.08 test\note.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 6, 18
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.09 test\note.md", "Markdown", 0, 0, 0, 28, 0, 0, 0, 18, 46
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.1 test\note.md", "Markdown", 0, 0, 0, 82, 0, 0, 0, 50, 132
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.11test\note.md", "Markdown", 0, 0, 0, 150, 0, 0, 0, 29, 179
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.17 test\note.md", "Markdown", 0, 0, 0, 21, 0, 0, 0, 20, 41
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.24 test\note.md", "Markdown", 0, 0, 0, 16, 0, 0, 0, 10, 26
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\2025.10.27 test\note.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 16, 35
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\algothrim.md", "Markdown", 0, 0, 0, 123, 0, 0, 0, 71, 194
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\exp.md", "Markdown", 0, 0, 0, 42, 0, 0, 0, 26, 68
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\test1_high_fanout_maze_opti\description.md", "Markdown", 0, 0, 0, 57, 0, 0, 0, 18, 75
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\test1_high_fanout_maze_opti\minheap.py", "Python", 0, 0, 77, 0, 0, 0, 0, 13, 90
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\incremental_routing\test1_high_fanout_maze_opti\test.py", "Python", 0, 0, 134, 0, 0, 0, 9, 31, 174
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\pathfinder\pathfinder.py", "Python", 0, 0, 96, 0, 0, 0, 12, 39, 147
"d:\FDU_files\Tao_group\kiwi\MyKiwi\algorithm\routing.md", "Markdown", 0, 0, 0, 57, 0, 0, 0, 19, 76
"d:\FDU_files\Tao_group\kiwi\MyKiwi\document\config\README.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 9, 20
"d:\FDU_files\Tao_group\kiwi\MyKiwi\document\config\trans_xlsx_to_json.py", "Python", 0, 0, 164, 0, 0, 0, 0, 46, 210
"d:\FDU_files\Tao_group\kiwi\MyKiwi\document\config\trans_xlsx_to_json_incremental.py", "Python", 0, 0, 37, 0, 0, 0, 5, 11, 53
"d:\FDU_files\Tao_group\kiwi\MyKiwi\document\config\transform_xl.py", "Python", 0, 0, 203, 0, 0, 0, 2, 22, 227
"d:\FDU_files\Tao_group\kiwi\MyKiwi\document\gui\README.md", "Markdown", 0, 0, 0, 62, 0, 0, 0, 42, 104
"d:\FDU_files\Tao_group\kiwi\MyKiwi\document\gui\flow.md", "Markdown", 0, 0, 0, 33, 0, 0, 0, 29, 62
"d:\FDU_files\Tao_group\kiwi\MyKiwi\resource\shader\axis.frag", "GLSL", 0, 0, 0, 0, 0, 7, 0, 3, 10
